Film,Actor
CADDYSHACK JEDI,MERYL GIBSON
CADDYSHACK JEDI,ROCK DUKAKIS
CALENDAR GUNFIGHT,BETTE NICHOLSON
CALENDAR GUNFIGHT,CAMERON STREEP
CALENDAR GUNFIGHT,TIM HACKMAN
CALENDAR GUNFIGHT,MILLA PECK
CALENDAR GUNFIGHT,GARY PHOENIX
CALENDAR GUNFIGHT,GINA DEGENERES
CALENDAR GUNFIGHT,GRETA KEITEL
CALENDAR GUNFIGHT,WHOOPI HURT
CALIFORNIA BIRDS,SCARLETT BENING
CALIFORNIA BIRDS,RUSSELL CLOSE
CAMELOT VACATION,JUDE CRUISE
CAMELOT VACATION,ALBERT NOLTE
CAMPUS REMEMBER,MATTHEW JOHANSSON
CAMPUS REMEMBER,REESE KILMER
CAMPUS REMEMBER,WILL WILSON
CANDIDATE PERDITION,SANDRA KILMER
CANDIDATE PERDITION,SIDNEY CROWE
CANDIDATE PERDITION,MORGAN HOPKINS
CANDIDATE PERDITION,THORA TEMPLE
CANDLES GRAPES,SANDRA KILMER
CANDLES GRAPES,REESE KILMER
CANDLES GRAPES,ANGELA HUDSON
CANDLES GRAPES,MILLA KEITEL
CANDLES GRAPES,CHARLIZE DENCH
CANDLES GRAPES,ALBERT JOHANSSON
CANDLES GRAPES,JOHN SUVARI
CANYON STOCK,ZERO CAGE
CANYON STOCK,VAL BOLGER
CANYON STOCK,RALPH CRUZ
CANYON STOCK,SPENCER DEPP
CANYON STOCK,MATTHEW LEIGH
CANYON STOCK,RUSSELL TEMPLE
CAPER MOTIONS,HELEN VOIGHT
CAPER MOTIONS,AUDREY OLIVIER
CAPER MOTIONS,VAL BOLGER
CAPER MOTIONS,CHRISTIAN AKROYD
CAPER MOTIONS,KEVIN GARLAND
CAPER MOTIONS,CATE MCQUEEN
CAPER MOTIONS,BURT TEMPLE
CARIBBEAN LIBERTY,BEN WILLIS
CARIBBEAN LIBERTY,ELLEN PRESLEY
CARIBBEAN LIBERTY,CHRIS BRIDGES
CARIBBEAN LIBERTY,SUSAN DAVIS
CARIBBEAN LIBERTY,JANE JACKMAN
CARIBBEAN LIBERTY,KIM ALLEN
CARIBBEAN LIBERTY,HARVEY HOPE
CARIBBEAN LIBERTY,LAURENCE BULLOCK
CAROL TEXAS,FRED COSTNER
CAROL TEXAS,GARY PHOENIX
CAROL TEXAS,DUSTIN TAUTOU
CAROL TEXAS,BEN WILLIS
CAROL TEXAS,VIVIEN BASINGER
CAROL TEXAS,OPRAH KILMER
CAROL TEXAS,THORA TEMPLE
CARRIE BUNCH,VAL BOLGER
CARRIE BUNCH,MENA TEMPLE
CARRIE BUNCH,JUDE CRUISE
CARRIE BUNCH,ANGELINA ASTAIRE
CARRIE BUNCH,KENNETH TORN
CARRIE BUNCH,GRETA MALDEN
CARRIE BUNCH,BELA WALKEN
CASABLANCA SUPER,KIRSTEN AKROYD
CASABLANCA SUPER,WALTER TORN
CASABLANCA SUPER,ANGELA WITHERSPOON
CASABLANCA SUPER,REESE WEST
CASPER DRAGONFLY,HELEN VOIGHT
CASPER DRAGONFLY,RAY JOHANSSON
CASPER DRAGONFLY,RALPH CRUZ
CASPER DRAGONFLY,ELLEN PRESLEY
CASPER DRAGONFLY,WALTER TORN
CASSIDY WYOMING,CUBA OLIVIER
CASSIDY WYOMING,SANDRA KILMER
CASSIDY WYOMING,AUDREY OLIVIER
CASSIDY WYOMING,ANGELA HUDSON
CASSIDY WYOMING,LUCILLE DEE
CASSIDY WYOMING,ANGELA WITHERSPOON
CASSIDY WYOMING,MARY KEITEL
CASUALTIES ENCINO,CAMERON STREEP
CASUALTIES ENCINO,MENA TEMPLE
CASUALTIES ENCINO,DARYL WAHLBERG
CASUALTIES ENCINO,GROUCHO DUNST
CASUALTIES ENCINO,SUSAN DAVIS
CAT CONEHEADS,HELEN VOIGHT
CAT CONEHEADS,ANGELA WITHERSPOON
CAT CONEHEADS,LAURA BRODY
CAT CONEHEADS,RENEE BALL
CATCH AMISTAD,JOHNNY CAGE
CATCH AMISTAD,CHRISTIAN AKROYD
CATCH AMISTAD,KENNETH PESCI
CATCH AMISTAD,DAN STREEP
CATCH AMISTAD,IAN TANDY
CAUSE DATE,PENELOPE PINKETT
CAUSE DATE,DUSTIN TAUTOU
CAUSE DATE,JAYNE NEESON
CAUSE DATE,WILLIAM HACKMAN
CAUSE DATE,JAYNE SILVERSTONE
CAUSE DATE,REESE WEST
CELEBRITY HORN,DUSTIN TAUTOU
CELEBRITY HORN,MATTHEW LEIGH
CELEBRITY HORN,ANGELA WITHERSPOON
CELEBRITY HORN,JAYNE SILVERSTONE
CENTER DINOSAUR,ALEC WAYNE
CENTER DINOSAUR,FAY WINSLET
CENTER DINOSAUR,GEOFFREY HESTON
CENTER DINOSAUR,ED GUINESS
CHAINSAW UPTOWN,NICK WAHLBERG
CHAINSAW UPTOWN,GENE HOPKINS
CHAMBER ITALIAN,ALEC WAYNE
CHAMBER ITALIAN,HENRY BERRY
CHAMBER ITALIAN,RIP WINSLET
CHAMBER ITALIAN,GINA DEGENERES
CHAMBER ITALIAN,ADAM HOPPER
CHAMBER ITALIAN,RICHARD PENN
CHAMBER ITALIAN,EMILY DEE
CHAMPION FLATLINERS,FRANCES DAY-LEWIS
CHAMPION FLATLINERS,JUDE CRUISE
CHAMPION FLATLINERS,CAMERON WRAY
CHAMPION FLATLINERS,GENE WILLIS
CHANCE RESURRECTION,MILLA PECK
CHANCE RESURRECTION,CHRISTIAN AKROYD
CHANCE RESURRECTION,BEN WILLIS
CHANCE RESURRECTION,WHOOPI HURT
CHANCE RESURRECTION,ANGELA WITHERSPOON
CHANCE RESURRECTION,MERYL ALLEN
CHAPLIN LICENSE,TIM HACKMAN
CHAPLIN LICENSE,PENELOPE CRONYN
CHAPLIN LICENSE,GROUCHO DUNST
CHAPLIN LICENSE,GINA DEGENERES
CHAPLIN LICENSE,CUBA ALLEN
CHAPLIN LICENSE,MINNIE KILMER
CHARADE DUFFEL,GREG CHAPLIN
CHARADE DUFFEL,KIRSTEN AKROYD
CHARADE DUFFEL,WARREN NOLTE
CHARIOTS CONSPIRACY,GINA DEGENERES
CHARIOTS CONSPIRACY,MICHAEL BOLGER
CHASING FIGHT,TOM MIRANDA
CHASING FIGHT,JADA RYDER
CHASING FIGHT,FAY WINSLET
CHASING FIGHT,RUSSELL TEMPLE
CHASING FIGHT,MENA HOPPER
CHEAPER CLYDE,PENELOPE GUINESS
CHEAPER CLYDE,LUCILLE TRACY
CHICAGO NORTH,MAE HOFFMAN
CHICAGO NORTH,CUBA ALLEN
CHICAGO NORTH,LIZA BERGMAN
CHICAGO NORTH,KEVIN GARLAND
CHICAGO NORTH,RIVER DEAN
CHICAGO NORTH,MERYL GIBSON
CHICAGO NORTH,BURT TEMPLE
CHICAGO NORTH,JAYNE SILVERSTONE
CHICKEN HELLFIGHTERS,KIRSTEN PALTROW
CHICKEN HELLFIGHTERS,HENRY BERRY
CHILL LUCK,MARY TANDY
CHILL LUCK,BURT POSEY
CHILL LUCK,WOODY JOLIE
CHILL LUCK,MEG HAWKE
CHILL LUCK,WARREN JACKMAN
CHINATOWN GLADIATOR,UMA WOOD
CHINATOWN GLADIATOR,DAN TORN
CHINATOWN GLADIATOR,BOB FAWCETT
CHINATOWN GLADIATOR,JUDE CRUISE
CHINATOWN GLADIATOR,JESSICA BAILEY
CHINATOWN GLADIATOR,SEAN WILLIAMS
CHINATOWN GLADIATOR,PENELOPE MONROE
CHINATOWN GLADIATOR,GEOFFREY HESTON
CHINATOWN GLADIATOR,JEFF SILVERSTONE
CHINATOWN GLADIATOR,JAYNE SILVERSTONE
CHISUM BEHAVIOR,NICK WAHLBERG
CHISUM BEHAVIOR,GENE HOPKINS
CHISUM BEHAVIOR,FAY WINSLET
CHISUM BEHAVIOR,JULIA FAWCETT
CHITTY LOCK,JOHNNY LOLLOBRIGIDA
CHITTY LOCK,LUCILLE TRACY
CHITTY LOCK,ELVIS MARX
CHITTY LOCK,SISSY SOBIESKI
CHITTY LOCK,VAL BOLGER
CHITTY LOCK,SUSAN DAVIS
CHITTY LOCK,RUSSELL TEMPLE
CHITTY LOCK,AL GARLAND
CHITTY LOCK,NICK DEGENERES
CHITTY LOCK,OLYMPIA PFEIFFER
CHITTY LOCK,LISA MONROE
CHITTY LOCK,HUMPHREY GARLAND
CHITTY LOCK,ROCK DUKAKIS
CHOCOLAT HARRY,JOE SWANK
CHOCOLAT HARRY,RIP CRAWFORD
CHOCOLAT HARRY,KIRK JOVOVICH
CHOCOLAT HARRY,JANE JACKMAN
CHOCOLAT HARRY,REESE WEST
CHOCOLATE DUCK,JOE SWANK
CHOCOLATE DUCK,CAMERON STREEP
CHOCOLATE DUCK,GARY PENN
CHOCOLATE DUCK,MINNIE ZELLWEGER
CHOCOLATE DUCK,JULIANNE DENCH
CHOCOLATE DUCK,HUMPHREY WILLIS
CHOCOLATE DUCK,GROUCHO WILLIAMS
CHRISTMAS MOONSHINE,PENELOPE MONROE
CHRISTMAS MOONSHINE,EMILY DEE
CHRISTMAS MOONSHINE,THORA TEMPLE
CIDER DESIRE,JULIA MCQUEEN
CIDER DESIRE,JODIE DEGENERES
CIDER DESIRE,FRANCES DAY-LEWIS
CIDER DESIRE,PENELOPE PINKETT
CIDER DESIRE,JON CHASE
CINCINATTI WHISPERER,ANNE CRONYN
CINCINATTI WHISPERER,RUSSELL BACALL
CINCINATTI WHISPERER,CUBA ALLEN
CINCINATTI WHISPERER,JULIANNE DENCH
CIRCUS YOUTH,BOB FAWCETT
CIRCUS YOUTH,MATTHEW CARREY
CITIZEN SHREK,KEVIN BLOOM
CITIZEN SHREK,GARY PHOENIX
CITIZEN SHREK,JUDE CRUISE
CITIZEN SHREK,CARY MCCONAUGHEY
CITIZEN SHREK,KENNETH TORN
CITIZEN SHREK,RUSSELL TEMPLE
CITIZEN SHREK,BEN HARRIS
CITIZEN SHREK,IAN TANDY
CLASH FREDDY,UMA WOOD
CLASH FREDDY,VIVIEN BERGEN
CLASH FREDDY,HELEN VOIGHT
CLASH FREDDY,MILLA PECK
CLASH FREDDY,LIZA BERGMAN
CLASH FREDDY,KIM ALLEN
CLASH FREDDY,ALAN DREYFUSS
CLEOPATRA DEVIL,KARL BERRY
CLEOPATRA DEVIL,FRED COSTNER
CLEOPATRA DEVIL,EWAN GOODING
CLEOPATRA DEVIL,KIM ALLEN
CLEOPATRA DEVIL,FAY WOOD
CLEOPATRA DEVIL,WILLIAM HACKMAN
CLEOPATRA DEVIL,JOHN SUVARI
CLERKS ANGELS,PENELOPE CRONYN
CLERKS ANGELS,SUSAN DAVIS
CLERKS ANGELS,ADAM HOPPER
CLERKS ANGELS,BELA WALKEN
CLOCKWORK PARADISE,SPENCER PECK
CLOCKWORK PARADISE,SYLVESTER DERN
CLOCKWORK PARADISE,SALMA NOLTE
CLOCKWORK PARADISE,KEVIN GARLAND
CLOCKWORK PARADISE,LUCILLE DEE
CLONES PINOCCHIO,MATTHEW JOHANSSON
CLONES PINOCCHIO,ANGELA HUDSON
CLONES PINOCCHIO,SIDNEY CROWE
CLONES PINOCCHIO,SALMA NOLTE
CLONES PINOCCHIO,MERYL GIBSON
CLOSER BANG,KIRSTEN PALTROW
CLOSER BANG,JODIE DEGENERES
CLOSER BANG,RUSSELL TEMPLE
CLOSER BANG,GRETA MALDEN
CLOSER BANG,ED GUINESS
CLOSER BANG,JULIA FAWCETT
CLUB GRAFFITI,TOM MCKELLEN
CLUB GRAFFITI,MORGAN WILLIAMS
CLUB GRAFFITI,LISA MONROE
CLUB GRAFFITI,DEBBIE AKROYD
CLUE GRAIL,KIRK JOVOVICH
CLUE GRAIL,RIP WINSLET
CLUE GRAIL,SPENCER PECK
CLUE GRAIL,LIZA BERGMAN
CLUE GRAIL,GENE HOPKINS
CLUE GRAIL,MERYL ALLEN
CLUELESS BUCKET,UMA WOOD
CLUELESS BUCKET,CHARLIZE DENCH
CLUELESS BUCKET,GINA DEGENERES
CLUELESS BUCKET,CAMERON ZELLWEGER
CLUELESS BUCKET,MORGAN MCDORMAND
CLUELESS BUCKET,ADAM HOPPER
CLUELESS BUCKET,ALAN DREYFUSS
CLUELESS BUCKET,JON CHASE
CLYDE THEORY,SISSY SOBIESKI
CLYDE THEORY,JOHNNY CAGE
CLYDE THEORY,GREG CHAPLIN
CLYDE THEORY,MERYL ALLEN
COAST RAINBOW,BETTE NICHOLSON
COAST RAINBOW,CAMERON STREEP
COAST RAINBOW,SISSY SOBIESKI
COAST RAINBOW,REESE KILMER
COAST RAINBOW,FRANCES DAY-LEWIS
COAST RAINBOW,ANGELA WITHERSPOON
COAST RAINBOW,OPRAH KILMER
COAST RAINBOW,LISA MONROE
COAST RAINBOW,BURT TEMPLE
COAST RAINBOW,REESE WEST
COLDBLOODED DARLING,BETTE NICHOLSON
COLDBLOODED DARLING,LUCILLE TRACY
COLDBLOODED DARLING,BEN WILLIS
COLDBLOODED DARLING,GINA DEGENERES
COLOR PHILADELPHIA,PENELOPE GUINESS
COLOR PHILADELPHIA,GROUCHO DUNST
COLOR PHILADELPHIA,SALMA NOLTE
COLOR PHILADELPHIA,DARYL CRAWFORD
COLOR PHILADELPHIA,CHRISTOPHER WEST
COLOR PHILADELPHIA,OLYMPIA PFEIFFER
COLOR PHILADELPHIA,JOHN SUVARI
COMA HEAD,CAMERON WRAY
COMA HEAD,RENEE TRACY
COMA HEAD,GEOFFREY HESTON
COMANCHEROS ENEMY,GOLDIE BRODY
COMANCHEROS ENEMY,CATE MCQUEEN
COMANCHEROS ENEMY,JAYNE NOLTE
COMANCHEROS ENEMY,MICHAEL BENING
COMANCHEROS ENEMY,RENEE BALL
COMFORTS RUSH,RUSSELL TEMPLE
COMFORTS RUSH,MERYL GIBSON
COMFORTS RUSH,HUMPHREY WILLIS
COMFORTS RUSH,HUMPHREY GARLAND
COMFORTS RUSH,BELA WALKEN
COMMAND DARLING,GRACE MOSTEL
COMMAND DARLING,BURT POSEY
COMMAND DARLING,KENNETH PESCI
COMMAND DARLING,LIZA BERGMAN
COMMAND DARLING,RITA REYNOLDS
COMMAND DARLING,EWAN GOODING
COMMAND DARLING,GEOFFREY HESTON
COMMAND DARLING,MERYL GIBSON
COMMANDMENTS EXPRESS,JOHNNY LOLLOBRIGIDA
COMMANDMENTS EXPRESS,BURT DUKAKIS
COMMANDMENTS EXPRESS,WARREN JACKMAN
COMMANDMENTS EXPRESS,CUBA BIRCH
CONEHEADS SMOOCHY,JOHNNY LOLLOBRIGIDA
CONEHEADS SMOOCHY,DAN TORN
CONEHEADS SMOOCHY,JULIA MCQUEEN
CONEHEADS SMOOCHY,ALEC WAYNE
CONEHEADS SMOOCHY,AUDREY OLIVIER
CONEHEADS SMOOCHY,JULIA BARRYMORE
CONEHEADS SMOOCHY,GINA DEGENERES
CONEHEADS SMOOCHY,WARREN JACKMAN
CONEHEADS SMOOCHY,RICHARD PENN
CONFESSIONS MAGUIRE,GRACE MOSTEL
CONFESSIONS MAGUIRE,RUSSELL BACALL
CONFESSIONS MAGUIRE,WARREN JACKMAN
CONFESSIONS MAGUIRE,AUDREY BAILEY
CONFIDENTIAL INTERVIEW,PARKER GOLDBERG
CONFIDENTIAL INTERVIEW,SYLVESTER DERN
CONFUSED CANDLES,CHRISTIAN AKROYD
CONFUSED CANDLES,RALPH CRUZ
CONFUSED CANDLES,JAMES PITT
CONFUSED CANDLES,ALBERT NOLTE
CONFUSED CANDLES,RIVER DEAN
CONFUSED CANDLES,GENE MCKELLEN
CONGENIALITY QUEST,TOM MCKELLEN
CONGENIALITY QUEST,NICK STALLONE
CONGENIALITY QUEST,CHRISTOPHER BERRY
CONNECTICUT TRAMP,KARL BERRY
CONNECTICUT TRAMP,FRED COSTNER
CONNECTICUT TRAMP,JOHNNY CAGE
CONNECTICUT TRAMP,HENRY BERRY
CONNECTICUT TRAMP,MEG HAWKE
CONNECTICUT TRAMP,ALBERT JOHANSSON
CONNECTICUT TRAMP,VIVIEN BASINGER
CONNECTION MICROCOSMOS,CAMERON STREEP
CONNECTION MICROCOSMOS,NATALIE HOPKINS
CONNECTION MICROCOSMOS,SCARLETT DAMON
CONNECTION MICROCOSMOS,RENEE TRACY
CONNECTION MICROCOSMOS,FAY WINSLET
CONNECTION MICROCOSMOS,RUSSELL TEMPLE
CONNECTION MICROCOSMOS,VIVIEN BASINGER
CONQUERER NUTS,MATTHEW JOHANSSON
CONQUERER NUTS,KIRSTEN PALTROW
CONQUERER NUTS,KEVIN BLOOM
CONQUERER NUTS,HENRY BERRY
CONQUERER NUTS,CAMERON ZELLWEGER
CONQUERER NUTS,JOHN SUVARI
CONSPIRACY SPIRIT,KIRK JOVOVICH
CONSPIRACY SPIRIT,MINNIE KILMER
CONSPIRACY SPIRIT,CHRISTOPHER WEST
CONSPIRACY SPIRIT,MENA HOPPER
CONTACT ANONYMOUS,MENA TEMPLE
CONTACT ANONYMOUS,CHRISTOPHER BERRY
CONTACT ANONYMOUS,MORGAN HOPKINS
CONTACT ANONYMOUS,EWAN GOODING
CONTACT ANONYMOUS,OLYMPIA PFEIFFER
CONTROL ANTHEM,BOB FAWCETT
CONTROL ANTHEM,AUDREY OLIVIER
CONTROL ANTHEM,CHARLIZE DENCH
CONVERSATION DOWNHILL,DUSTIN TAUTOU
CONVERSATION DOWNHILL,CHRIS BRIDGES
CONVERSATION DOWNHILL,GRETA MALDEN
CORE SUIT,PENELOPE PINKETT
CORE SUIT,PENELOPE CRONYN
CORE SUIT,ANGELA WITHERSPOON
CORE SUIT,MENA HOPPER
COWBOY DOOM,ED CHASE
COWBOY DOOM,MILLA KEITEL
COWBOY DOOM,JULIANNE DENCH
COWBOY DOOM,WHOOPI HURT
COWBOY DOOM,GREGORY GOODING
CRAFT OUTFIELD,RIP CRAWFORD
CRAFT OUTFIELD,HENRY BERRY
CRAFT OUTFIELD,SCARLETT DAMON
