Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
Just Evil,0.638,0.974
Gang,0.9,0.892
AGONIZE,0.595,0.898
Megacorp,0.733,0.918
Hate or Glory,0.939,0.824
Atomic,0.934,0.936
Afterlife,0.678,0.741
Darkness,0.752,0.637
Edgerunner,0.835,0.988
The Demon Dance,0.862,0.608
Infiltrator,0.812,0.56
Power Core,0.932,0.774
Bad News,0.868,0.856
Cyberpunk,0.844,0.92
home,0.674,0.94
ODYSSEY,0.77,0.995
Low,0.685,0.788
Bing Bong,0.779,0.996
Horus,0.882,0.928
Psychopath,0.511,0.988
Break Your Skull,0.74,0.851
Breathe,0.901,0.927
Prime Complex,0.959,0.934
Reign in Hell,0.92,0.942
Movies In My Head,0.659,0.67
Angelica,0.897,0.797
Purification,0.669,0.683
Gone,0.865,0.397
JINN,0.576,0.858
The World Is Yours,0.714,0.626
WIZZ,0.583,0.663
VLST,0.622,0.76
Lost At Sea,0.845,0.449
Star Eater,0.865,0.555
Supersoaker,0.689,0.825
R U Afraid,0.847,0.729
Sleep,0.651,0.829
Air,0.893,0.732
Holy Shit,0.754,0.915
Power,0.811,0.87
Vendetta,0.824,0.89
Discrete,0.726,0.747
Versace Strings,0.797,0.0873
CODENAME_BONKERS - Remix,0.875,0.636
Schizophrenia,0.791,0.848
REBEL,0.837,0.932
GIVE IN,0.803,0.849
Can't Take This,0.757,0.88
RIVALS,0.902,0.717
Hypnos,0.916,0.915
Trauma Team,0.608,0.897
Take That,0.83,0.895
MEGATON,0.73,0.91
Take Me to Hell,0.648,0.681
Misery,0.609,0.867
Devil Doctor,0.759,0.836
Omega,0.785,0.9
On The Floor,0.764,0.745
Tilting On Windmills,0.887,0.167
Cursed,0.873,0.929
Nocturna,0.873,0.982
Not Like I Was Doing Anything,0.923,0.435
Like Meat (Spoiled),0.838,0.894
Unum Infernum,0.811,0.934
Aeon,0.901,0.597
Alive,0.851,0.518
Rêve,0.583,0.524
Obsession,0.855,0.868
Yin & Yang Remix - Remix,0.792,0.761
Use of Force,0.804,0.886
BLOODRAVE,0.894,0.98
Cybertruck,0.842,0.95
This Is a Call To Arms,0.983,0.738
Do Not Disturb,0.778,0.964
My Broken Heart,0.642,0.802
Lost Spirit,0.895,0.978
Safe,0.744,0.895
Shake That Thing,0.86,0.782
TOMA,0.552,0.312
TROUBLEMAKER,0.759,0.935
Pray For My Enemies,0.875,0.828
Fully Loaded Epic Win,0.686,0.952
Dumb,0.573,0.361
OBEY,0.943,0.901
"Operation Black Light - The Otherside Series, Vol. 4",0.877,0.838
Legendary,0.854,0.946
Bachetrón,0.798,0.782
Astrid,0.896,0.854
Dominare,0.853,0.886
The Doom Party,0.749,0.837
I Take It That We're Through,0.657,0.185
Forever,0.639,0.698
I Wanna Rock (Jersey Club),0.886,0.917
Disconnect,0.88,0.776
Shiloh's Lament,0.55,0.956
Chevrolexomyl,0.767,0.786
Corazón Lleno de Mil Inviernos,0.787,0.638
Dream Baby Dream,0.725,0.803
Reformed Hellraiser,0.711,0.8
Memora,0.808,0.494
Rene,0.667,0.978
Ultima,0.838,0.933
She,0.844,0.917
The Destroyer,0.811,0.58
The Blackening,0.843,0.65
FALLING RIZLAS,0.941,0.101
Into the Beyond,0.777,0.841
Shape Shifter,0.849,0.973
Eat Your Soul,0.627,0.83
Reproduction - Instrumental,0.911,0.628
Law & Order (Jersey Club),0.852,0.712
VILLAIN - Instrumental,0.85,0.819
Overseer,0.816,0.735
We Can't Be Friends,0.89,0.87
Hit Different (Jersey Club),0.719,0.536
Knockdhu,0.871,0.938
Hyperion,0.9,0.877
ERROR303,0.935,0.977
Selected Faces,0.883,0.776
ERROR,0.542,0.749
Dimensional,0.878,0.668
Yakuza,0.855,0.852
Resolution,0.866,0.583
Pale Demon - slowed + reverb,0.89,0.967
Blood and Steel,0.821,0.326
Exhausted Divinity,0.932,0.68
Brute Force,0.896,0.87
Sigil,0.946,0.97
Holy,0.796,0.932
Make It Real,0.892,0.667
Solve Everything with Violence,0.865,0.889
Blood Dragon Theme,0.687,0.92
Absolutely Cuckoo,0.882,0.423
Don't Kill Me,0.882,0.911
20202020,0.825,0.77
Cosmos,0.853,0.841
Kiss of Jvdas - Original Mix,0.915,0.892
Transmissions,0.518,0.673
Nxwxrk,0.817,0.662
Ego Sum Deus,0.881,0.538
Crimson Arch,0.66,0.888
Lumen,0.954,0.909
Machine Spirit,0.78,0.956
Stunna,0.722,0.941
A New Horizon,0.938,0.575
Dark Triads,0.781,0.909
Phantasm,0.938,0.895
Fate Dance,0.945,0.999
S. Diverge,0.916,0.938
Shots Fired (Reloaded),0.865,0.893
Violence Suppressor - Volkor X Remix,0.831,0.939
Autonomous,0.874,0.993
Eternity or Something,0.789,0.689
Overdrive Overture,0.669,0.929
Axolotl,0.963,0.797
Proud,0.845,0.253
E.M.P. Eror,0.911,0.306
Everything Is as It Should Be,0.869,0.551
Resurrection,0.865,0.778
Into You,0.825,0.907
Silver grave,0.91,0.567
ZERO FIVE STARS,0.534,0.643
Alone,0.897,0.819
Trifecta (We Came To Party),0.58,0.662
The Living Will Envy the Dead,0.88,0.838
Lethargy,0.709,0.805
A Fallen Rose,0.941,0.818
Hard Instincts - Sleen Mp Remix,0.808,0.679
Caustique,0.905,0.792
Pull the Wire,0.742,0.957
Cross of Fire,0.964,0.767
Necrodancer,0.9,0.875
Tore A Hole,0.832,0.71
Lurk,0.936,0.268
god's chariots,0.812,0.476
Doom,0.798,0.97
Crisis,0.593,0.425
Decisions (AM Intro),0.942,0.871
Atomic,0.86,0.778
Criminals,0.922,0.656
Prototype,0.881,0.359
Move Slow,0.86,0.792
Overdrive,0.633,0.745
Nightmare,0.894,0.648
Faith in Strangers,0.894,0.692
Love Me Tomorrow,0.544,0.755
Motorcycle Cop,0.813,0.953
underwater,0.866,0.153
ALONE,0.656,0.471
Apretao - Kelman Duran Remix,0.907,0.843
Luna,0.806,0.846
Baseline Test,0.533,0.702
Light the Beacon,0.892,0.427
Hyperforce,0.901,0.717
Incandescence,0.927,0.759
Win Some,0.899,0.187
Ending Night,0.729,0.903
Damn,0.515,0.948
Majesty,0.932,0.678
Larsen,0.899,0.943
Shellshock,0.809,0.823
Freaky,0.93,0.962
My Real Desire,0.72,0.954
Suicide,0.753,0.817
Cave Crawl,0.896,0.694
End Of Time,0.889,0.475
DELETE SOUL,0.727,0.481
Nyctophilia,0.878,0.718
Strands Unravel,0.879,0.575
Welcome Hell,0.892,0.948
Facety,0.946,0.952
Alaska,0.841,0.923
Remember,0.814,0.69
Sector,0.827,0.939
Thanks Bitch,0.613,0.719
U Cant Hurt Me,0.924,0.784
Ddos,0.716,0.99
Fragile,0.853,0.651
Polycephaly,0.904,0.741
VIOLENCE,0.607,0.801
Ruin,0.807,0.873
Fall Asleep,0.839,0.728
DNA War,0.747,0.865
Black Magic,0.728,0.965
4AM,0.76,0.724
Are Friends Electric,0.675,0.698
Red Sex,0.821,0.73
Power Over Death,0.862,0.436
Cyber Ravage - Vector Seven Remix,0.772,0.831
Penetration Testing,0.907,0.968
Burst Open,0.896,0.999
Truth to Power,0.87,0.897
Whisper,0.896,0.788
Truth,0.644,0.899
Monsters of Men,0.838,0.931
Wolf - Judge Bitch Remix,0.891,0.759
Police Heartbreaker,0.79,0.997
A Long Walk,0.885,0.66
Dreadfully Pious,0.92,0.967
never had,0.72,0.389
I Was Wrong,0.928,0.933
Dance X,0.865,0.94
Drift,0.717,0.84
Fuschia,0.941,0.461
Trans,0.898,0.924
CURSED,0.647,0.802
Little Things,0.867,0.892
Conspiracy Origins,0.909,0.307
May Day,0.872,0.418
Hyperpunk,0.874,0.865
Heat,0.88,0.94
Relic,0.787,0.922
The Orb,0.841,0.947
Transport,0.631,0.917
Bangin' Lemon,0.847,0.348
Yearning = Alchemical Fire,0.924,0.969
Summoner,0.804,0.827
Light Left The Garden,0.602,0.515
Norma,0.523,0.713
We Stay Together (Part One),0.888,0.293
The New Slaves,0.873,0.936
Bad Wires,0.807,0.602
Koko,0.574,0.725
Jericho,0.94,0.812
Amaka,0.871,0.824
Deadeyes,0.846,0.811
Kyoto,0.735,0.551
Smolder,0.507,0.636
Nobody Supposed to Be Here,0.963,0.75
A Hero Born,0.854,0.781
You Can't Outrun the Devil,0.849,0.991
Apretao - Original Mix,0.873,0.799
Red Pyramid X,0.879,0.955
Bonjour Travelers,0.856,0.926
Maseratiphoïde,0.822,0.865
Silicone,0.626,0.997
Chester,0.533,0.734
In My Car,0.856,0.554
Malfunction,0.603,0.955
MSMSMSM,0.905,0.94
Say Goodbye Fireflies,0.915,0.857
Loony,0.539,0.894
"独自一人,一起",0.903,0.412
Behemoth,0.877,0.982
RUB YA TUMMY,0.665,0.524
Crushed,0.526,0.632
Grand Design,0.938,0.82
Genesee Avenue,0.896,0.945
First Date at Starcourt Mall,0.754,0.873
Hasta Que Me Quieras,0.875,0.942
Red Eyes,0.874,0.866
Mind Eraser,0.694,0.876
Deviant,0.917,0.925
For a Moment,0.647,0.714
Beliar,0.561,0.901
Betty,0.631,0.459
Urchin,0.896,0.495
Heretic,0.87,0.227
Piel,0.74,0.167
Guidance,0.923,0.242
A B Y S S,0.717,0.938
Vortex,0.945,0.715
Clutch,0.87,0.813
Give It To Me,0.834,0.503
Problems,0.649,0.973
Death On The Dance Floor,0.782,0.945
Queue,0.795,0.874
Full Throttle,0.676,0.935
Crypt,0.871,0.639
La Crypte,0.587,0.739
"ZERO FIVE STARS - CLIP, KELVIN KRASH REMIX",0.623,0.643
Territory,0.916,0.649
SLUDGE,0.798,0.994
D411,0.851,0.974
Black Lambo,0.817,0.941
NO FLOWERS GROW FROM FROZEN GROUND,0.825,0.89
Dharma,0.886,0.829
Night Walkers,0.595,0.918
Mi Todo,0.807,0.72
Midnight Escape Finale,0.878,0.566
Narc City,0.642,0.83
Detail Queen,0.881,0.721
Shenpa Indicator Light!!!,0.626,0.882
Some Broken Hearts Never Mend,0.888,0.466
Sunshine,0.905,0.8
Dangerous - David Guetta Banging Remix,0.852,0.931
Last Dance - Reeva & Black Dub Mix,0.873,0.844
Animals,0.674,0.857
Magenta Riddim,0.813,0.892
Pasiones & Adicciones - Gav Easby Remix,0.595,0.91
Voice of the Soul,0.893,0.572
Amazonia,0.776,0.954
Hammer Smashed Face,0.843,0.98
The Jester's Dance,0.876,0.872
Bleed,0.88,0.998
Elang,0.62,0.819
Unholy Masturbation (Bonus Remastered),0.868,0.974
Tanah Air Beta,0.949,0.959
Human Butchery (Bonus Remastered),0.878,0.983
The Devil's Orchard,0.664,0.645
The art of dying,0.543,0.83
Wave of Death,0.549,0.99
Betrayer,0.676,0.996
Only for the Weak,0.766,0.835
In Your Face,0.547,0.988
Cannibal Instinct (Bonus Remastered),0.943,0.976
Pembalasan,0.847,0.972
Murder,0.924,0.982
The Ultra-Violence,0.693,0.99
Reduced to Redemption,0.502,0.955
Self Destruction,0.823,0.942
Without Mercy (Jungle of Dead Christians),0.715,0.968
Dreaming in Columbia,0.687,0.955
I Cum Blood,0.833,0.988
Demiurge,0.79,0.945
For the Glory of...,0.883,0.892
Downfall,0.887,0.951
Kalamaut,0.777,0.981
Raise Your Horns,0.737,0.873
Unprocessed,0.789,0.994
Blacklist,0.564,0.969
Thrones of Blood,0.926,0.887
No Limit Suggestion,0.626,0.991
The Watcher,0.886,0.979
War Song,0.825,0.948
Buried in Hypocrisy,0.913,0.952
Language I: Intuition,0.74,0.737
Broken Cog,0.932,0.877
Pull the Plug,0.533,0.978
Another World,0.783,0.877
Born For One Thing,0.624,0.971
Sorceress,0.59,0.7
If You Want Peace... Prepare For War,0.66,0.983
Sinetron Sucks,0.971,0.981
The Gift of Guilt,0.694,0.977
Bencana,0.758,0.993
Dirge for November,0.658,0.377
Wraith of Death,0.944,0.976
Catharsis,0.917,0.92
Sons of Medusa,0.558,0.662
Unanswered,0.641,0.993
Himmelsrand,0.787,0.926
No Pity for a Coward,0.748,0.989
Evolving,0.786,0.977
Bleak,0.663,0.868
Cloud Connected,0.856,0.908
Chopped in Half,0.521,0.989
Ever Dying,0.856,0.826
Merciless,0.933,0.977
You Asked for It,0.838,0.778
Stålfågel,0.794,0.975
Bed Of Razors,0.54,0.971
Mourn,0.894,0.556
Compulsion for Cruelty,0.694,0.92
Ending Credits,0.912,0.544
The Behemoth,0.917,0.87
Burn Waco,0.555,0.953
Amon Belongs to Them,0.699,0.836
To the Last...,0.911,0.914
Love Me to Death,0.84,0.991
Needled 24 / 7,0.733,0.926
Redneck Stomp,0.871,0.861
The Indwelling Ascent,0.809,0.243
The Great Deceiver,0.549,0.985
Hate The Living,0.798,0.893
Lets Start the Party,0.859,0.932
Combustion,0.899,0.997
Encased in Ice,0.937,0.977
Augmented Devastation,0.716,0.956
Chaoplasm,0.803,0.938
While We Sleep,0.797,0.982
Deliverance,0.706,0.973
New Found,0.783,0.878
Carnal Access (Bonus Remastered),0.947,0.968
...And The World Will Cease To Be,0.93,0.975
Given in Death,0.893,0.861
Exploitation,0.503,0.956
Beneath Dying Skies,0.862,0.978
Starspawn,0.864,0.928
Anubis,0.946,0.713
Sakura,0.892,0.993
Continuous,0.711,0.992
"God, His Son And Holy Whore",0.868,0.99
Rotting as One,0.633,0.875
The Leader Has Gone,0.703,0.968
The Confessional,0.798,0.902
Twist the Knife,0.937,0.925
Slave To The God Of Agony,0.915,0.942
Endless Hate,0.912,0.922
Masters of War,0.878,0.992
Capped,0.905,0.973
The Toxic Waltz,0.897,0.988
Rivfader,0.891,0.965
Mandatory Suicide,0.694,0.997
The Sound Of Eight Hooves,0.765,0.968
Llora Chiapas,0.9,0.878
Residentes Olvidados,0.747,0.863
Metalwrath,0.727,0.998
Anatomi Dosa 2.0,0.939,0.971
Terminal,0.562,0.986
Part I: Aberration,0.801,0.887
Black Magic,0.614,0.908
Intruder,0.625,0.914
Postmortem Incision (Bonus Remastered),0.932,0.919
Verrat,0.881,0.988
Foreshadowing Our Demise,0.862,0.879
Ecstasy in Decay,0.941,0.99
Hermanos Menendez,0.544,0.845
Blodmarsch,0.604,0.604
Common State of Inner Violence,0.908,0.972
Ajattomasta Unesta,0.77,0.483
Fools Bastards,0.835,0.81
Funeral Carnival,0.915,0.993
El Infierno de Dante,0.687,0.898
Syttyköön toinen aurinko,0.955,0.907
Sphinx,0.714,0.915
More Than Meets the Eye,0.515,0.984
Hypodermis Glitch,0.827,0.954
ObZen,0.911,0.999
Whore to a Chainsaw,0.784,0.967
Soil the Stillborn,0.874,0.981
I Was I Am I Shall Be,0.963,0.967
Only for the Weak - Live,0.892,0.975
Tyranation,0.518,0.991
Pragmatis Sintetis,0.727,0.993
Exhumado,0.538,0.879
Apricity,0.886,0.846
"Silent Night, Bodom Night",0.525,0.942
Ravenous Revolution,0.94,0.95
Absence of Light,0.762,0.676
Hukum Dan Keadilan Hanya Formalitas,0.916,0.933
Zodiac,0.866,0.996
Arrogance,0.625,0.989
Blasphemian,0.834,0.953
"When Everything Goes Wrong, Take The Easy Way Out",0.505,0.58
It Lives,0.874,0.886
World of Lies,0.9,0.955
Burning the Cross,0.623,0.842
Excoriating Abdominal Emanation,0.874,0.841
Heroes To Us,0.836,0.948
When a Demon Defiles a Witch,0.715,0.94
Children Of Decadence,0.791,0.986
Force Fed,0.779,0.907
Hyper Kill,0.565,0.997
Into The Storm,0.68,0.972
Pallar Anders Visa,0.791,0.311
Amidst the Bloodshed,0.582,0.819
Superior Firepower,0.849,0.971
Smothered,0.691,0.842
Wornout,0.732,0.981
Obitual,0.819,0.95
Gravedigger,0.96,0.977
Vital Deprivation,0.746,0.933
Black Masses,0.581,0.832
Sad But True,0.649,0.97
"Hidden Species (Vitrification of Blood, Pt. 2)",0.899,0.836
Falling From The Sky: Day Seven,0.63,0.746
Daggers of Black Haze,0.847,0.909
Des Sängers Fluch,0.574,0.9
Slaughter Of The Soul,0.914,0.975
Scream Bloody Gore,0.583,0.9
Blessphemy,0.665,0.96
You Will Be Godless,0.663,0.987
Intro,0.88,0.8975
Nothing Right,0.598,0.98
Progenitors of a New Paradigm,0.648,0.996
Valley of Darkness,0.669,0.973
Drone Corpse Aviator,0.801,0.994
Back to Life - Live,0.697,0.854
Symbolic Virtue,0.652,0.864
Nightbird's Song,0.894,0.82
Lost Forever,0.738,0.879
Headless,0.895,0.975
Beholder,0.856,0.867
Shades of Grey,0.856,0.885
Faceless Enemy,0.937,0.977
Adagio for Strings,0.883,0.926
Bastard Angel,0.945,0.996
Tortured Sacrament,0.833,0.921
Denial of Life,0.76,0.934
Releasing Surtur's Fire,0.771,0.972
Lucro é o Fim,0.939,0.944
Redemption,0.552,0.96
Critical Mass,0.829,0.991
The Colours of the Beast,0.879,0.901
Empathological Necroticism,0.736,0.847
Protector,0.707,0.98
Follow The Reaper,0.732,0.948
The Antichrist,0.582,0.937
Behold The Crown,0.626,0.975
Swallow the Flames,0.606,0.988
Pity the Sadness,0.606,0.98
Mutilated Remains,0.526,0.991
Shadow World,0.801,0.952
Buried in Forgotten Grounds,0.932,0.943
A Servant,0.865,0.906
Crushing the Despised,0.733,0.998
Tear Off These Wings,0.536,0.995
Deus Misereatur,0.941,0.433
Muerto en la Cruz,0.678,0.875
Death Glance,0.905,0.959
Removed from Consciousness,0.501,0.883
The Emperor,0.708,0.97
Hold On,0.744,0.923
Inhumane,0.734,0.955
I Belive in Me,0.656,0.976
Wraparound Eyes,0.905,0.962
Limo Vincit Omnia,0.583,0.935
Malformed Dissonance,0.707,0.988
The Arrival Of The Fimble Winter,0.844,0.939
Troops of Doom,0.685,0.982
Despise the Sun,0.939,0.929
Sorrow Throughout The Nine Worlds,0.938,0.95
When Everything Becomes Nothing,0.932,0.991
O Matador,0.839,0.744
Scorn,0.513,0.852
Saturnus,0.77,0.965
Song of the Gods,0.745,0.953
Mutilation,0.734,0.911
Let the Water Rise,0.634,0.961
Scum,0.804,0.954
Hyperforms,0.81,0.999
Kraken,0.523,0.953
Padre Nuestro,0.559,0.983
Roads,0.846,0.887
Magnificat,0.632,0.949
Abducted Remake,0.7,0.989
Confines of Human Flesh,0.716,0.798
Narrow Path,0.661,0.832
Immortal Behated,0.597,0.889
Försvinn Du Som Lyser,0.857,0.979
We Burn with Hate,0.623,0.88
Immanuel (The Challenger),0.775,0.584
The Killchain,0.895,0.86
Feel Good,0.696,0.883
Crank,0.883,0.906
Two Caps,0.924,0.958
Cola,0.512,0.74
My Love (feat. Jess Glynne),0.72,0.622
More,0.896,0.528
Dancing,0.544,0.877
All Night Long - Y.V.E. 48 Remix,0.746,0.573
Morenita,0.742,0.769
The Space In Between - Ben Böhmer Remix,0.627,0.656
Polkka,0.513,0.738
The Music Began To Play,0.707,0.936
Threshold (ASOT 1090),0.755,0.94
Superman,0.709,0.689
Tiderays,0.885,0.718
For a Feeling (feat. RHODES),0.632,0.903
B2B,0.568,0.956
A Drug From God,0.843,0.883
B2B,0.809,0.955
Rocket Surgery (ASOT 1090),0.866,0.936
Free,0.516,0.9
Riser,0.83,0.921
Eternity (feat. Lena Leon),0.788,0.862
Rave - Remix,0.895,0.627
Liang,0.786,0.934
Look Into My Eyes - HUGEL & Hugo Cantarra Remix,0.704,0.779
Lymn - Extended Mix,0.924,0.672
Peron - Extended Mix,0.922,0.824
Canopée des Cîmes,0.657,0.764
Dancing People Are Never Wrong,0.867,0.548
Atom - 138 Mix,0.91,0.975
Safe - Joris Voorn Remix,0.575,0.637
Gratitude,0.964,0.943
Strangers (with Mansionair) - Tinlicker Remix,0.893,0.975
Resurrection - Axwell's Recut Radio Version,0.678,0.952
Let Us Pray,0.89,0.777
Tron - Mathew Jonson's Vca Dub,0.834,0.661
Like a Wirsing - Hanne & Lore Remix,0.848,0.491
Osama,0.602,0.704
Shadow (Maceo Plex Remix),0.881,0.727
Maybe Not,0.896,0.43
Come With Me - Radio Mix,0.736,0.758
Broken Love,0.698,0.823
Time - feat. Jules Buckley,0.88,0.834
Liberation,0.627,0.836
Turkey - Original Mix,0.83,0.322
Same Mistake - But Different Remix,0.905,0.503
Big Beat,0.898,0.973
La candela viva,0.744,0.987
Babarabatiri - David Penn Remix,0.81,0.947
Turkey Remixes - Ashal S Eastern Assassin Remix,0.867,0.951
Wash The Window,0.824,0.924
Bappi,0.86,0.842
Adieu,0.635,0.747
Pliva,0.531,0.886
Cry,0.741,0.322
Mystery - Tale Of Us & Mathame Remix,0.682,0.579
Parrot Cay,0.739,0.708
Solitary Daze,0.905,0.739
Breeze,0.522,0.802
Freedom,0.604,0.902
Cola - Club Mix,0.624,0.688
Jurema,0.794,0.912
Headnoise (Get Hype),0.843,0.989
Midsommar,0.939,0.615
Breathless,0.533,0.956
On The Move,0.642,0.956
Can't Get Enough! - Vocal Club Mix,0.601,0.973
Come On,0.56,0.902
Wait A Minute - Mattei & Omich Remix,0.912,0.939
Porto,0.865,0.713
Island in the Sun,0.524,0.615
Duel,0.889,0.743
Birthright,0.926,0.71
Notte senza fine - Kiasmos Remix,0.913,0.448
Carnaval de Paris,0.905,0.558
Reminiscing,0.917,0.848
Zorro,0.811,0.881
C3PO,0.918,0.932
Oblivion,0.936,0.927
Tulum,0.836,0.68
Leave Me,0.88,0.672
Singularity,0.877,0.486
Another Dream,0.878,0.345
Devon - Oliver Huntemann Remix,0.892,0.777
Coltrane - Kolombo Remix,0.557,0.682
Tell Me Are We,0.705,0.863
Apollo 11,0.919,0.652
Aquatic,0.931,0.93
All I Ever Wanted,0.792,0.63
Stumble,0.557,0.549
Nice to Meet You,0.865,0.935
EDM,0.753,0.941
For You,0.856,0.56
Strangers (with Mansionair) - Nora En Pure Remix,0.756,0.941
Silenced - Argy Remix,0.71,0.711
Crave The Bassline,0.658,0.984
Solitary Daze - Radio Edit,0.9,0.841
Darlin,0.946,0.744
Tell You,0.832,0.751
Edding 850 - Original Mix,0.873,0.626
Drop It,0.907,0.962
Something Suitable - Original Mix,0.714,0.478
Gospel - Super Flu's Antichrist Remix,0.924,0.581
Fibonacci,0.824,0.781
Turn Me On,0.861,0.784
Strangers (with Mansionair),0.778,0.891
Our Broken Mind Embassy,0.535,0.674
Celestial,0.759,0.582
Coma Cat - Purple Disco Machine Re-Work,0.714,0.978
Space Raiders - Charlotte de Witte Remix,0.867,0.731
I Feel It - Paul Woolford Extended Remix,0.807,0.885
Sweet Memories - Genairo Nvilla Remix,0.65,0.958
Annihilation,0.85,0.798
So Far So Good - Frankov Remix 2022,0.869,0.96
Muyè,0.943,0.474
Saving My Love,0.913,0.518
Rave,0.909,0.807
Home - Mind Against Remix,0.621,0.744
Are You,0.956,0.877
Sweet Dreams,0.616,0.779
Lately,0.863,0.686
Safe,0.794,0.748
Poison,0.856,0.876
I Enter - Original Mix,0.852,0.727
Gunny,0.691,0.922
Roar - Adana Twins Remix,0.814,0.871
Nabia,0.849,0.778
Do You Hear Me,0.555,0.662
For a Feeling (feat. RHODES) - Layton Giordani Remix,0.698,0.831
Morenita - Matroda Remix,0.615,0.903
Liberation,0.614,0.705
Tengo ganas de ti,0.651,0.864
Groovy Since 90 Somethin,0.555,0.797
Illusion feat. Haexxa,0.66,0.649
Hold On,0.914,0.859
Epikur - Original,0.905,0.598
Accordia,0.916,0.602
Safe,0.834,0.725
Nova,0.914,0.394
Tantrum,0.643,0.956
Gravity,0.742,0.693
Packard - Blomqvist & Schories Sunrise Mix,0.521,0.615
Revision feat Giovanni - Original Mix,0.552,0.667
Here Comes The Sun,0.603,0.777
Sumatra,0.961,0.735
Summertime Sadness,0.652,0.367
Famous,0.898,0.954
Nichts feat. Haexxa,0.764,0.458
NYC Dirty Talks - Original Mix,0.821,0.579
Elevate,0.642,0.808
What I Might Do,0.836,0.644
Remember,0.539,0.874
Astral,0.835,0.859
Chasing Love (Blake Leisurely Remix),0.838,0.948
Feel My Needs - Purple Disco Machine Remix,0.859,0.896
After Life (feat. Stacy Barthe),0.53,0.903
To Let Myself Go,0.731,0.842
End of All Hopes,0.735,0.448
All With Love,0.844,0.462
Tribe of Kindness,0.924,0.788
Coconut Grove,0.699,0.725
Arabian Night - Dub Mix,0.849,0.649
Sehnsucht,0.933,0.338
Crossroad,0.703,0.45
La La La,0.639,0.878
More,0.731,0.464
Blackout,0.773,0.598
Heartbeat - Alex Schulz Remix,0.729,0.702
Say Yeah,0.799,0.988
The Age Of Rave,0.63,0.917
The Calling,0.769,0.459
Picasso,0.906,0.548
Here Be Dragons,0.887,0.538
Oh Me - Extended Mix,0.903,0.85
Joy,0.938,0.798
Tribute to Chronical Deep - Atmospheric Mix,0.914,0.534
Play My Song - Extended,0.872,0.943
Try Yazz,0.586,0.875
Sleepless,0.871,0.717
I've Fallen for You,0.856,0.532
Ritual,0.881,0.753
Necessity,0.678,0.492
Kerching,0.54,0.761
Bipolar Disorder - Radio Edit,0.892,0.853
My Paradise - Vintage Culture Remix,0.839,0.892
Liberation - Extended Mix,0.63,0.664
About You,0.918,0.868
Liberation - Re-Edit,0.849,0.759
Don't Tell Me I Can't Have It,0.749,0.669
Fallin,0.674,0.517
Psyjack - DJ Sneak Remix,0.947,0.914
Bringing the Good Times Back - Sebb Junior Remix,0.669,0.959
Bangalora,0.836,0.845
Kaya,0.817,0.925
Mile High Gang,0.916,0.455
The Plug,0.816,0.874
Skies - Healthy Mix,0.722,0.547
Sweet Melody - Original Mix,0.9,0.763
Finally Mine feat. Haexxa,0.785,0.727
The Border feat. Haexxa,0.872,0.523
"Drone Me Up, Flashy - &ME Remix",0.877,0.803
Fly Kicks - Wax Motif Remix,0.728,0.692
Juniper,0.906,0.702
Papi,0.755,0.898
Talk to Me You'll Understand,0.674,0.619
They Don't Know - Radio Edit,0.586,0.79
X2 (Tritonia 400),0.736,0.968
In Bed feat. Haexxa,0.666,0.684
This Shit Again - Nostalgic Mix,0.917,0.376
The Key - BK's Slam Remix Edit,0.518,0.92
Like a Movie feat. Haexxa,0.653,0.491
Goodbye,0.777,0.46
Cola - ZHU Remix,0.621,0.547
Boavista - Innellea Remix,0.794,0.773
MAMI - AC Slater Remix,0.832,0.969
Moss,0.89,0.746
Hooked,0.705,0.998
Impressed - Rework,0.839,0.403
Ba Da Bam,0.902,0.931
Heaven,0.549,0.586
Callisto - Ben Böhmer Remix,0.833,0.716
Discoteca,0.847,0.485
Conjure Dreams,0.875,0.744
Voices Above,0.863,0.944
Sign of the Times,0.841,0.782
Ikebana,0.84,0.715
Two Caps,0.927,0.958
Between Two Worlds,0.907,0.693
"Sunday - KlangTherapeuten \""Looking For Summer\"" Remix",0.86,0.54
Waikiki - Original Mix,0.906,0.455
My Computer,0.911,0.846
Heartbreaker,0.763,0.839
To The World,0.901,0.809
Clear,0.831,0.637
Superior Race,0.765,0.713
Good Life (Remastered) - Club Mix,0.619,0.921
Paradise Valley,0.896,0.887
The Bells,0.952,0.995
The Melody,0.9,0.489
The Shit Baby,0.803,0.602
Knowledge Of Selfie,0.885,0.572
My Mind,0.868,0.92
Aja,0.888,0.464
Confess to U - Vocal,0.762,0.512
Our Luv,0.651,0.665
Anitasians,0.8,0.902
Ambiance,0.845,0.685
P.B.C.,0.939,0.729
Chama Piru's,0.769,0.666
Romancing the Stone,0.839,0.606
Threshold,0.834,0.943
I Wanna Be There - Edit,0.881,0.891
Time Mo 1,0.918,0.595
Cleo's Theme,0.869,0.958
Liveinla 1998,0.851,0.86
"It's Money in The \"" D \""",0.926,0.917
In Da Jungle - Elliot Fitch Remix,0.518,0.971
Rock To The Beat,0.934,0.79
Stop Lite,0.881,0.568
Play In The Dark - Steam Mix,0.817,0.73
Unabomber,0.907,0.693
M Traxx,0.826,0.568
Moor Houseman on Bolarus 5,0.902,0.951
In Loving Memory,0.936,0.443
Answer Machine,0.897,0.888
Gamma Player - Blue Potential Version,0.87,0.537
Homing Device,0.883,0.793
